,Price,Levy,Prod. year,Leather interior,Engine volume,Mileage,Cylinders,Airbags,Turbo,Mileage_BIN,EngineVolume_BIN,Manufacturer,Model,Category,Fuel type,Gear box type,Drive wheels,Doors,Wheel,Color
0,9.497622364406624,1399.0,2010,1,3.41,186005.0,6.0,12,0,5.0,4.0,21.0,1180.0,4.0,2.0,0.0,0.0,1.0,0.0,12.0
1,9.71842223507111,1018.0,2011,0,3.0,192000.0,6.0,8,0,5.0,4.0,5.0,632.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0
2,9.043931533642278,0.0,2006,0,1.3,200000.0,4.0,2,0,5.0,0.0,14.0,656.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0
3,8.19063168090354,862.0,2011,1,2.5,168966.0,4.0,0,0,4.0,3.0,11.0,635.0,4.0,2.0,0.0,0.0,1.0,0.0,14.0
4,9.369563877524161,446.0,2014,1,1.3,91901.0,4.0,4,0,2.0,0.0,14.0,656.0,3.0,5.0,0.0,1.0,1.0,0.0,12.0
5,10.583878719994873,891.0,2016,1,2.0,160931.0,4.0,4,0,4.0,2.0,15.0,1238.0,4.0,1.0,0.0,1.0,1.0,0.0,14.0
6,7.497207223203318,761.0,2010,1,1.8,258909.0,4.0,12,0,7.0,1.0,36.0,1094.0,3.0,2.0,0.0,1.0,1.0,0.0,14.0
7,6.3080984415095305,751.0,2013,1,2.4,216118.0,4.0,12,0,6.0,2.0,15.0,1267.0,9.0,5.0,0.0,1.0,1.0,0.0,7.0
8,7.001245622069476,394.0,2014,1,2.5,343306.2,4.0,12,0,9.0,3.0,36.0,412.0,9.0,2.0,0.0,1.0,1.0,0.0,1.0
9,10.190807059268902,0.0,2007,1,3.41,128500.0,6.0,12,0,3.0,4.0,21.0,1174.0,4.0,5.0,0.0,0.0,1.0,0.0,12.0
10,6.846943139585379,1053.0,2014,1,3.41,184467.0,6.0,12,0,5.0,4.0,24.0,576.0,9.0,1.0,0.0,2.0,1.0,0.0,14.0
11,9.080345575359996,0.0,1999,0,3.41,0.0,8.0,0,0,0.0,4.0,11.0,1352.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0
12,8.006367567650246,0.0,1997,0,1.6,343306.2,4.0,4,0,9.0,1.0,28.0,1387.0,2.0,0.0,1.0,1.0,1.0,0.0,14.0
13,6.926577033222725,1055.0,2013,1,3.41,138038.0,6.0,12,0,4.0,4.0,21.0,1180.0,4.0,2.0,0.0,1.0,1.0,0.0,14.0
14,10.993126366405129,891.0,2016,1,2.0,76000.0,4.0,4,0,2.0,2.0,15.0,1238.0,4.0,1.0,0.0,1.0,1.0,0.0,14.0
15,6.3080984415095305,1079.0,2018,1,2.0,74146.0,4.0,12,0,2.0,2.0,36.0,352.0,4.0,5.0,0.0,1.0,1.0,0.0,14.0
16,8.946765374867635,810.0,2016,1,1.8,121840.0,4.0,12,0,3.0,1.0,15.0,607.0,9.0,5.0,0.0,1.0,1.0,0.0,2.0
17,10.253510420394482,810.0,2016,1,1.8,54317.0,4.0,4,0,1.0,1.0,15.0,607.0,9.0,5.0,0.0,1.0,1.0,0.0,14.0
18,6.3080984415095305,2109.1000000000004,2006,1,3.3,295059.0,6.0,12,0,8.0,4.0,15.0,1267.0,9.0,5.0,0.0,2.0,1.0,0.0,2.0
